
Re=50, We=0.5, Ma=0.005lambda=0, t=10.0008380128b=20.0, Stability=-1.84559628405
Re=50, We=0.5, Ma=0.005lambda=0.05, t=10.0008380128b=20.0, Stability=-1.25118020765
Re=50, We=0.5, Ma=0.005lambda=0.1, t=10.0008380128b=20.0, Stability=-0.594413369269
Re=50, We=0.001, Ma=0.005, t=0.0808454185995al=0.1, Stability=0.000228710984258
Re=50, We=0.75, Ma=0.005lambda=0, t=0.161690837199b=20.0, Stability=-0.00070119210607
Re=50, We=0.75, Ma=0.005lambda=0, t=10.0005782808b=20.0, Stability=-1.35672096606
Re=50, We=0.75, Ma=0.005lambda=0.05, t=10.0005782808b=20.0, Stability=-1.22785266096
Re=50, We=0.75, Ma=0.005lambda=0.1, t=10.0005782808b=20.0, Stability=-0.578708143938
Re=50, We=0.75, Ma=0.005lambda=0, t=10.0005782808b=20.0, Stability=-1.35672096606
Re=50, We=0.75, Ma=0.005lambda=0, t=10.0005782808b=20.0, Stability=-1.35672096606
Re=50, We=0.75, Ma=0.005lambda=0.05, t=10.0005782808b=20.0, Stability=-1.23131576738
Re=50, We=0.75, Ma=0.005lambda=0.1, t=10.0005782808b=20.0, Stability=-0.565098318836
Re=10, We=0.75, Ma=0.01lambda=0, t=0.0023447299461b=20.0, Stability=0.318861558938
Re=10, We=0.75, Ma=0.01lambda=0.05, t=0.0023447299461b=20.0, Stability=-3.39344677723
Re=10, We=0.75, Ma=0.01lambda=0.1, t=0.0023447299461b=20.0, Stability=1.21366426406
