Re=50, We=2.0, Ma=0.001, t=8.0005, E_k=0.115712189715, E_e=2758.41015478
Re=50, We=0.001, Ma=0.001, t=8.0005, E_k=0.0923536686165, E_e=6.32710000351e-05
Re=50, We=0.1, Ma=0.001, t=8.0005, E_k=0.097998878472, E_e=0.515648258348
Re=50, We=0.5, Ma=0.001, t=8.0005, E_k=0.098166418707, E_e=163.945267834
Re=50, We=1.0, Ma=0.001, t=8.0005, E_k=0.112131952273, E_e=1171.46462957
Re=50, We=2.0, Ma=0.001, t=8.0005, E_k=0.115712189715, E_e=2758.41015478
Re=50, We=0.001, Ma=0.001, t=8.0005, E_k=0.0923536686165, E_e=6.32710000351e-05
Re=100, We=0.001, Ma=0.01, t=8.0005, E_k=0.0912691851112, E_e=6.4121762222e-05
Re=100, We=0.1, Ma=0.01, t=8.0005, E_k=0.0975215531095, E_e=0.52435963156
Re=100, We=0.5, Ma=0.01, t=8.0005, E_k=0.0976678635359, E_e=173.044031962
Re=100, We=1.0, Ma=0.01, t=8.0005, E_k=0.111830979626, E_e=1187.52977395
Re=100, We=2.0, Ma=0.01, t=8.0005, E_k=0.115565971143, E_e=2782.38090799
Re=100, We=0.001, Ma=0.01, t=8.0005, E_k=0.0912691851112, E_e=6.4121762222e-05
Re=100, We=0.1, Ma=0.01, t=8.0005, E_k=0.0975215531095, E_e=0.52435963156
Re=200, We=0.001, Ma=0.02, t=8.0005, E_k=0.0936335386692, E_e=6.64360923511e-05
Re=200, We=0.1, Ma=0.02, t=8.0005, E_k=0.0955888251612, E_e=0.542399552519
Re=200, We=0.5, Ma=0.02, t=8.0005, E_k=0.0956675726371, E_e=191.096101448
Re=200, We=1.0, Ma=0.02, t=8.0005, E_k=0.110172703945, E_e=1221.04582505
Re=200, We=2.0, Ma=0.02, t=8.0005, E_k=0.114734937611, E_e=2841.32299402
Re=200, We=0.001, Ma=0.03, t=8.0005, E_k=0.0853225170662, E_e=6.79397548881e-05
Re=200, We=0.1, Ma=0.03, t=8.0005, E_k=0.092682897265, E_e=0.559957051896
Re=200, We=0.5, Ma=0.03, t=8.0005, E_k=0.0926949076592, E_e=206.549007511
Re=200, We=1.0, Ma=0.03, t=8.0005, E_k=0.107456664934, E_e=1256.79006478
Re=200, We=2.0, Ma=0.03, t=8.0005, E_k=0.113257138019, E_e=2915.06130861
Re=200, We=0.001, Ma=0.04, t=8.0005, E_k=0.086245688568, E_e=7.00896051972e-05
Re=200, We=0.1, Ma=0.04, t=8.0005, E_k=0.08945742548, E_e=0.575978415045
Re=200, We=0.5, Ma=0.04, t=8.0005, E_k=0.0893942878099, E_e=220.436111946
Re=200, We=1.0, Ma=0.04, t=8.0005, E_k=0.104013606926, E_e=1290.62834429
